"Account Name","Account Type","Account Classification","Account Number","Symbol","Exchange","MIC","Name","Security Type","Quantity","Position Direction","Market Price","Market Price Currency","Book Value (CAD)","Book Value Currency (CAD)","Book Value (Market)","Book Value Currency (Market)","Market Value","Market Value Currency","Market Unrealized Returns","Market Unrealized Returns Currency"
"TFSA","TFSA","Trade","HQ7TF4A21CAD","VEQT","","","Vanguard All-Equity ETF Portfolio - ETF","ETF","485.9002","LONG","46.1","CAD","18983.05","CAD","18983.05","CAD","22400.00","CAD","3416.95","CAD"
"TFSA","TFSA","Trade","HQ7TF4A21CAD","VSC","","","Vanguard Investments Canada Inc. - Canadian Short-term Corporate Bond Index ETF","ETF","336.7983","LONG","24.05","CAD","8181.00","CAD","8181.00","CAD","8100.00","CAD","-81.00","CAD"
"TFSA","TFSA","Trade","HQ7TF4A21CAD","SHOP","","","Shopify Inc.","EQUITY","20.4626","LONG","112.4","CAD","1840.00","CAD","1840.00","CAD","2300.00","CAD","460.00","CAD"
"TFSA","TFSA","Trade","HQ7TF4A21CAD","CAD","","","CAD","CURRENCY","310.0","LONG","1.0","CAD","310.00","CAD","310.00","CAD","310.00","CAD","0.00","CAD"
"RRSP","RRSP","Trade","HQ7RR9B33CAD","VEQT","","","Vanguard All-Equity ETF Portfolio - ETF","ETF","149.6746","LONG","46.1","CAD","5847.46","CAD","5847.46","CAD","6900.00","CAD","1052.54","CAD"
"RRSP","RRSP","Trade","HQ7RR9B33CAD","SGOV","","","iShares Trust - iShares 0-3 Month Treasury Bond ETF","ETF","30.502","LONG","100.42","USD","4221.00","CAD","3078.33","USD","3063.01","USD","-15.32","USD"
"RRSP","RRSP","Trade","HQ7RR9B33CAD","BN","","","Brookfield Corp.","EQUITY","14.3481","LONG","80.15","CAD","1000.00","CAD","1000.00","CAD","1150.00","CAD","150.00","CAD"
"RRSP","RRSP","Trade","HQ7RR9B33CAD","CAD","","","CAD","CURRENCY","85.0","LONG","1.0","CAD","85.00","CAD","85.00","CAD","85.00","CAD","0.00","CAD"
"FHSA","FHSA","Trade","HQ7FH2C17CAD","VCN","","","Vanguard FTSE Canada All Cap Index ETF","ETF","187.3805","LONG","52.3","CAD","8990.83","CAD","8990.83","CAD","9800.00","CAD","809.17","CAD"
"FHSA","FHSA","Trade","HQ7FH2C17CAD","VSC","","","Vanguard Investments Canada Inc. - Canadian Short-term Corporate Bond Index ETF","ETF","162.1622","LONG","24.05","CAD","3939.00","CAD","3939.00","CAD","3900.00","CAD","-39.00","CAD"
"Non-registered","Non-registered","Trade","HQ7NR6D48CAD","SGOV","","","iShares Trust - iShares 0-3 Month Treasury Bond ETF","ETF","91.506","LONG","100.42","USD","12663.00","CAD","9234.98","USD","9189.03","USD","-45.95","USD"
"Non-registered","Non-registered","Trade","HQ7NR6D48CAD","VSC","","","Vanguard Investments Canada Inc. - Canadian Short-term Corporate Bond Index ETF","ETF","168.3992","LONG","24.05","CAD","4090.50","CAD","4090.50","CAD","4050.00","CAD","-40.50","CAD"
"Non-registered","Non-registered","Trade","HQ7NR6D48CAD","XAW","","","iShares Core MSCI All Country World ex Canada Index ETF","ETF","69.1964","LONG","44.8","CAD","2767.86","CAD","2767.86","CAD","3100.00","CAD","332.14","CAD"
"Non-registered","Non-registered","Trade","HQ7NR6D48CAD","ZAG","","","BMO Aggregate Bond Index ETF","ETF","98.5915","LONG","14.2","CAD","1428.00","CAD","1428.00","CAD","1400.00","CAD","-28.00","CAD"
"Non-registered","Non-registered","Trade","HQ7NR6D48CAD","CAD","","","CAD","CURRENCY","190.0","LONG","1.0","CAD","190.00","CAD","190.00","CAD","190.00","CAD","0.00","CAD"
"High-yield savings","High-yield savings","Trade","HQ7HY3E05CAD","SGOV","","","iShares Trust - iShares 0-3 Month Treasury Bond ETF","ETF","21.0609","LONG","100.42","USD","2914.51","CAD","2125.52","USD","2114.94","USD","-10.58","USD"
"High-yield savings","High-yield savings","Trade","HQ7HY3E05CAD","VSC","","","Vanguard Investments Canada Inc. - Canadian Short-term Corporate Bond Index ETF","ETF","274.4283","LONG","24.05","CAD","6666.00","CAD","6666.00","CAD","6600.00","CAD","-66.00","CAD"
"Crypto","Crypto","Trade","HQ7CR8F62CAD","BTC","","","Bitcoin","CRYPTOCURRENCY","0.00317063","LONG","110388.19","CAD","318.18","CAD","318.18","CAD","350.00","CAD","31.82","CAD"
